COMPANY,ADDRESS,ZIP,Lat,Lon,CITY,STATE,CONTACT,EMPLOYEES,SALES,SIC,CREDIT,FLEET
Carmax,6601 Odana Rd,53719,43.05,-89.52,Madison,WI,MANAGER,100 to 249,$50 - 100 MILLION,Automobile/Trucks Dealers-Used,A,1 to 10
Cascade Asset Management LLC,6701 Manufacturers Dr,53704,43.14,-89.35,Madison,WI,CEO,50 to 99,$50 - 100 MILLION,Computers-Dealers-Used,A+,1 to 10
Cherokee Country Club,5000 N Sherman Ave,53704,43.14,-89.35,Madison,WI,OWNER,100 to 249,$20 - 50 MILLION,Caterers,I,20 to 49
Clasen Quality Chocolates,5126 W Terrace Dr # 100,53718,43.09,-89.28,Madison,WI,VICE PRESIDENT,100 to 249,$20 - 50 MILLION,Chocolate & Cocoa-Manufacturers,A,11 to 19
Conney Safety Products,3202 Latham Dr,53713,43.04,-89.39,Madison,WI,HR EXECUTIVE,100 to 249,$100 - 500 MILLION,Online Retailers & Marketplaces,A+,11 to 19
Copart Salvage Auto Auctions,5448 Lien Rd,53718,43.09,-89.28,Madison,WI,MANAGER,5 to 9,$20 - 50 MILLION,Automotive Dealers Nec,A,1 to 10
Dean Clinic,PO Box 7900,53707,43.07,-89.38,Madison,WI,OWNER,100 to 249,$20 - 50 MILLION,Contact Lenses,A+,Unknown
Dean East Pharmacy,1806 W Beltline Hwy,53713,43.04,-89.39,Madison,WI,CEO,500 to 999,$100 - 500 MILLION,Pharmacies,A,50+
DICK'S Sporting Goods,237 W Towne Mall,53719,43.05,-89.52,Madison,WI,MANAGER,100 to 249,$20 - 50 MILLION,Sporting Goods-Retail,A,11 to 19
Discount Vials,2842 Progress Rd,53716,43.07,-89.31,Madison,WI,OWNER,10 to 19,$20 - 50 MILLION,Bottles (Mfrs),A+,1 to 10
Don Miller Dodge Chrysler Jeep,5802 Odana Rd,53719,43.05,-89.52,Madison,WI,OWNER,20 to 49,$20 - 50 MILLION,Automobile Dealers-New Cars,B+,1 to 10
Don Miller Subaru East,5401 High Crossing Blvd,53718,43.09,-89.28,Madison,WI,MANAGER,50 to 99,$20 - 50 MILLION,Automobile Dealers-New Cars,A,1 to 10
Doubletree By Hilton Madison,525 W Johnson St,53703,43.08,-89.38,Madison,WI,DIRECTOR,50 to 99,$20 - 50 MILLION,Entertainment Guides-Publications (Mfrs),A,1 to 10
Douglas Stewart Co,2402 Advance Rd,53718,43.09,-89.28,Madison,WI,CEO,100 to 249,$100 - 500 MILLION,Electronic Equipment & Supplies-Retail,A,Unknown
East Madison Toyota,3501 Lancaster Dr,53718,43.09,-89.28,Madison,WI,FINANCE EXEC,100 to 249,$50 - 100 MILLION,Automobile Dealers-New Cars,A+,1 to 10
Exact Sciences Corp,5505 Endeavor Ln,53719,43.05,-89.52,Madison,WI,BOARD MEMBER,5000 to 9999,OVER $1 BILLION,Physicians & Surgeons Equip & Supls-Mfrs,A+,Unknown
Facility Gateway Critical Svc,4916 E Broadway,53716,43.07,-89.31,Madison,WI,CEO,50 to 99,$20 - 50 MILLION,Computer & Equipment Dealers,A,1 to 10
Factory Motor Parts,1844 Wright St,53704,43.14,-89.35,Madison,WI,MANAGER,20 to 49,$20 - 50 MILLION,Automobile Parts & Supplies-Retail-New,A+,20 to 49
Faith Technolocy,22 Transport Ct,53704,43.14,-89.35,Madison,WI,VICE PRESIDENT,100 to 249,$20 - 50 MILLION,Telephone Equipment & Supplies,A+,50+
Fearing's Audio Video Security,722 Walsh Rd,53714,43.1,-89.31,Madison,WI,PRESIDENT,20 to 49,$20 - 50 MILLION,Audio-Visual Equipment-Dealers,A,20 to 49
Festival Foods,810 E Washington Ave,53703,43.08,-89.38,Madison,WI,GENERAL MGR,100 to 249,$20 - 50 MILLION,Grocers-Retail,A,Unknown
Frito-Lay Inc,4484 Robertson Rd,53714,43.1,-89.31,Madison,WI,FINANCE EXEC,20 to 49,$50 - 100 MILLION,Potato Chips Corn Chips/Snacks (Mfrs),A+,50+
G-I Office Technologies,PO Box 330,53008,43.06,-88.11,Madison,WI,OWNER,20 to 49,$20 - 50 MILLION,Radio/Tv Broadcasting/Comm Equip (Mfrs),A,20 to 49
General Heating & Air Cond Inc,PO Box 259596,53725,43.07,-89.38,Madison,WI,PRESIDENT,100 to 249,$20 - 50 MILLION,Metal Goods-Manufacturers,A,50+
Gordon Food Svc Store,406 Grand Canyon Dr,53719,43.05,-89.52,Madison,WI,SALES,20 to 49,$20 - 50 MILLION,Grocers-Retail,A+,20 to 49
Graduate Madison,601 Langdon St,53703,43.08,-89.38,Madison,WI,DIRECTOR,50 to 99,$20 - 50 MILLION,Restaurants,B+,1 to 10
Grainger Industrial Supply,501 Atlas Ave,53714,43.1,-89.31,Madison,WI,DIRECTOR,20 to 49,$20 - 50 MILLION,Manufacturers Distrs & Indl Products,A+,1 to 10
Graybar,2130 W Badger Rd,53713,43.04,-89.39,Madison,WI,MANAGER,20 to 49,$20 - 50 MILLION,Electric Equipment-Manufacturers,A+,20 to 49
Great Dane Hilldale,357 Price Pl,53705,43.07,-89.46,Madison,WI,MANAGER,100 to 249,$20 - 50 MILLION,Brewers (Mfrs),A,11 to 19
Guardian Pharmacy Wisconsin,3250 Kingsley Way,53713,43.04,-89.39,Madison,WI,OWNER,50 to 99,$20 - 50 MILLION,Pharmacies,A,1 to 10
Hilton-Madison Monona Terrace,9 E Wilson St,53703,43.08,-89.38,Madison,WI,GENERAL MGR,100 to 249,$50 - 100 MILLION,Electric Charging Station,A,1 to 10
Holiday Inn Hotel-Suites,1109 Fourier Dr,53717,43.07,-89.52,Madison,WI,MANAGER,100 to 249,$20 - 50 MILLION,Caterers,A,1 to 10
Holiday Inn Madison At The Amr,5109 W Terrace Dr,53718,43.09,-89.28,Madison,WI,OWNER,50 to 99,$20 - 50 MILLION,Restaurants,B+,1 to 10
Home Depot,2425 East Springs Dr,53704,43.14,-89.35,Madison,WI,SITE MANAGER,100 to 249,$20 - 50 MILLION,Home Centers,A+,11 to 19
Home Depot,4550 Verona Rd,53711,43.01,-89.42,Madison,WI,MANAGER,100 to 249,$20 - 50 MILLION,Home Centers,A+,11 to 19
Hy-Vee,PO Box 310442,50331,41.57,-93.61,Madison,WI,DIRECTOR,250 to 499,$50 - 100 MILLION,Grocers-Retail,A,Unknown
Hy-Vee,PO Box 310442,50331,41.57,-93.61,Madison,WI,DIRECTOR,100 to 249,$20 - 50 MILLION,Grocers-Retail,A,Unknown
Jc Penney,135 East Towne Mall,53704,43.14,-89.35,Madison,WI,SITE MANAGER,250 to 499,$50 - 100 MILLION,Department Stores,A,Unknown
Jc Penney,23 W Towne Mall,53719,43.05,-89.52,Madison,WI,MANAGER,250 to 499,$50 - 100 MILLION,Department Stores,A,Unknown
Kayser Lincoln,PO Box 1526,53701,43.07,-89.38,Madison,WI,PRESIDENT,100 to 249,$50 - 100 MILLION,Automobile Dealers-New Cars,A,1 to 10
Kohl's,2602 East Springs Dr,53704,43.14,-89.35,Madison,WI,HR EXECUTIVE,100 to 249,$20 - 50 MILLION,Department Stores,A,Unknown
Kohl's,7401 W Towne Way,53719,43.05,-89.52,Madison,WI,SITE MANAGER,100 to 249,$20 - 50 MILLION,Department Stores,A,Unknown
Kunes Mad City Mitsubishi,920 Ann St,53713,43.04,-89.39,Madison,WI,PRESIDENT,20 to 49,$20 - 50 MILLION,Automobile Dealers-New Cars,A,1 to 10
Linde Gas & Equipment,1426 Parkside Dr,53704,43.14,-89.35,Madison,WI,MANAGER,20 to 49,$20 - 50 MILLION,Gas-Ind & Medical-Cylinder & Bulk-Mfrs,A+,20 to 49
Macy's,702 N Midvale Blvd # 132,53705,43.07,-89.46,Madison,WI,DIRECTOR,100 to 249,$20 - 50 MILLION,Department Stores,A,Unknown
Madison Concourse Hotel,1 W Dayton St,53703,43.08,-89.38,Madison,WI,DIRECTOR,250 to 499,$100 - 500 MILLION,Restaurants,B+,1 to 10
Madison Truck Equipment Inc,2410 S Stoughton Rd,53716,43.07,-89.31,Madison,WI,OWNER,10 to 19,$50 - 100 MILLION,Truck Bodies-Manufacturers,A,1 to 10
Madison Truck Sales,PO Box 8130,53708,43.07,-89.38,Madison,WI,GENERAL MGR,50 to 99,$50 - 100 MILLION,Truck-Dealers-New,A,1 to 10
Marling Home Works,613 Atlas Ave,53714,43.1,-89.31,Madison,WI,MANAGER,20 to 49,$20 - 50 MILLION,Kitchen Cabinets & Equipment-Household,B+,50+
Menards,430 Commerce Dr,53719,43.05,-89.52,Madison,WI,MANAGER,100 to 249,$20 - 50 MILLION,Home Centers,A+,11 to 19
Metcalfe's,726 N Midvale Blvd,53705,43.07,-89.46,Madison,WI,OWNER,100 to 249,$20 - 50 MILLION,Grocers-Retail,A,Unknown
Metro Ford Of Madison,5422 Wayne Ter,53718,43.09,-89.28,Madison,WI,GENERAL MGR,50 to 99,$20 - 50 MILLION,Automobile Dealers-New Cars,A,1 to 10
Metro Market,3650 University Ave # B,53705,43.07,-89.46,Madison,WI,DIRECTOR,100 to 249,$20 - 50 MILLION,Grocers-Retail,A+,Unknown
Metro Market,PO Box 473,53201,43.06,-87.96,Madison,WI,DIRECTOR,100 to 249,$20 - 50 MILLION,Grocers-Retail,A,Unknown
Millipore Sigma,645 Science Dr,53711,43.01,-89.42,Madison,WI,PRESIDENT,50 to 99,$20 - 50 MILLION,Chemicals-Manufacturers,A+,1 to 10
Motomco LC,3699 Kinsman Blvd,53704,43.14,-89.35,Madison,WI,OWNER,500 to 999,$100 - 500 MILLION,Pesticides & Ag Chemicals Nec (Mfrs),A+,50+
Nakoma Golf Course,4145 Country Club Rd,53711,43.01,-89.42,Madison,WI,DIRECTOR,100 to 249,$20 - 50 MILLION,Golf Equipment & Supplies-Retail,A,20 to 49
Orascoptic Corp,6650 Ronald Reagan Ave,53704,43.14,-89.35,Madison,WI,DIRECTOR,100 to 249,$20 - 50 MILLION,Physicians & Surgeons Equip & Supls-Mfrs,A+,1 to 10
Park Hotel Inc,22 S Carroll St,53703,43.08,-89.38,Madison,WI,MANAGER,100 to 249,$20 - 50 MILLION,Bars,B+,11 to 19
Pick'n Save,2502 Shopko Dr,53704,43.14,-89.35,Madison,WI,HR EXECUTIVE,250 to 499,$50 - 100 MILLION,Grocers-Retail,A+,Unknown
Pick'n Save,6655 Mckee Rd # B,53719,43.05,-89.52,Madison,WI,GENERAL MGR,100 to 249,$20 - 50 MILLION,Grocers-Retail,A,Unknown
Q9 Powersports USA,2613 S Stoughton Rd,53716,43.07,-89.31,Madison,WI,GENERAL MGR,5 to 9,$20 - 50 MILLION,Utility Vehicles-Sport & Atv,B+,Unknown
Quincy Bioscience Mfg LLC,726 Heartland Trl # 300,53717,43.07,-89.52,Madison,WI,DIRECTOR,50 to 99,$20 - 50 MILLION,Manufacturers,A,Unknown
Radisson Hotel Madison,517 Grand Canyon Dr,53719,43.05,-89.52,Madison,WI,MANAGER,50 to 99,$20 - 50 MILLION,Restaurants,B+,1 to 10
Real Food Innovations,2901 Progress Rd,53716,43.07,-89.31,Madison,WI,CEO,50 to 99,$20 - 50 MILLION,Food Products & Manufacturers,A,1 to 10
Renewal By Andersen,5960 Odana Rd # 100,53719,43.05,-89.52,Madison,WI,SITE MANAGER,50 to 99,$20 - 50 MILLION,Windows,A+,1 to 10
Rosen Nissan Of Madison,2510 W Beltline Hwy,53713,43.04,-89.39,Madison,WI,OWNER,250 to 499,$100 - 500 MILLION,Automobile Dealers-New Cars,A,1 to 10
Russ Darrow KIA Of Madison,6525 Odana Rd,53719,43.05,-89.52,Madison,WI,MANAGER,100 to 249,$50 - 100 MILLION,Automobile Dealers-New Cars,A+,1 to 10
Russ Darrow Madison Mazda,2302 W Beltline Hwy,53713,43.04,-89.39,Madison,WI,GENERAL MGR,20 to 49,$20 - 50 MILLION,Automobile Dealers-New Cars,A+,1 to 10
Schoepp Motors,2402 S Stoughton Rd,53716,43.07,-89.31,Madison,WI,MANAGER,20 to 49,$20 - 50 MILLION,Automobile/Trucks Dealers-Used,A+,1 to 10
Schoeps Ice Cream,2070 Helena St,53704,43.14,-89.35,Madison,WI,CEO,100 to 249,$50 - 100 MILLION,Ice Cream Parlors,A,Unknown
Schumacher Elevator Co,718 Post Rd,53713,43.04,-89.39,Madison,WI,VICE PRESIDENT,50 to 99,$20 - 50 MILLION,Elevators & Moving Stairways (Mfrs),A+,1 to 10
Sheraton Madison Hotel,706 John Nolen Dr,53713,43.04,-89.39,Madison,WI,GENERAL MGR,100 to 249,$20 - 50 MILLION,Caterers,A,1 to 10
Smart Toyota,5901 Odana Rd,53719,43.05,-89.52,Madison,WI,OWNER,100 to 249,$50 - 100 MILLION,Automobile Dealers-New Cars,A,1 to 10
Sonic Foundry Inc,222 W Washington Ave # 100,53703,43.08,-89.38,Madison,WI,CEO,100 to 249,$20 - 50 MILLION,Radio/Tv Broadcasting/Comm Equip (Mfrs),A+,20 to 49
Steinhafels,2164 W Beltline Hwy,53713,43.04,-89.39,Madison,WI,SITE MANAGER,100 to 249,$20 - 50 MILLION,Furniture-Dealers-Retail,A,11 to 19
Sub-Zero Inc,PO Box 44130,53744,43.07,-89.38,Madison,WI,CEO,1000 to 4999,$500 MILLION - $1 BILLION,Refrigerators-Manufacturers,A,Unknown
Target,201 Junction Rd,53717,43.07,-89.52,Madison,WI,SITE MANAGER,250 to 499,$50 - 100 MILLION,Department Stores,A,Unknown
Target,4301 Lien Rd,53704,43.14,-89.35,Madison,WI,DIRECTOR,100 to 249,$20 - 50 MILLION,Department Stores,A,Unknown
Target,750 Hilldale Way,53705,43.07,-89.46,Madison,WI,OWNER,100 to 249,$20 - 50 MILLION,Department Stores,A,Unknown
Television Wisconsin,7025 Raymond Rd,53719,43.05,-89.52,Madison,WI,DIRECTOR,100 to 249,$50 - 100 MILLION,Television & Radio-Dealers,B,Unknown
Thermastor,4201 Lien Rd,53704,43.14,-89.35,Madison,WI,PRESIDENT,100 to 249,$20 - 50 MILLION,Dehumidifying Equipment,A,Unknown
Underground Prnting,521 State St,53703,43.08,-89.38,Madison,WI,MANAGER,100 to 249,$20 - 50 MILLION,Clothing-Custom Made,B+,Unknown
University Book Store,711 State St # 100,53703,43.08,-89.38,Madison,WI,VICE PRESIDENT,100 to 249,$20 - 50 MILLION,Book Dealers-Retail,B+,11 to 19
UW Health,1675 Highland Ave,53792,43.08,-89.43,Madison,WI,DIRECTOR,100 to 249,$20 - 50 MILLION,Hearing Aids,A+,11 to 19
UW Health Optical,7974 Uw Health Ct,53562,43.1,-89.5,Madison,WI,CEO,100 to 249,$20 - 50 MILLION,Contact Lenses,A+,11 to 19
Walmart,7202 Watts Rd,53719,43.05,-89.52,Madison,WI,MANAGER,100 to 249,$20 - 50 MILLION,Department Stores,A,Unknown
Walmart Supercenter,4198 Nakoosa Trl,53714,43.1,-89.31,Madison,WI,GENERAL MGR,250 to 499,$50 - 100 MILLION,Department Stores,A,Unknown
Waste Management Recycle Amer,2200 Fish Hatchery Rd,53713,43.04,-89.39,Madison,WI,MANAGER,20 to 49,$20 - 50 MILLION,Converted Paper/Paperbrd Prod Nec (Mfrs),A+,11 to 19
Webcrafters Inc,2211 Fordem Ave,53704,43.14,-89.35,Madison,WI,VICE PRESIDENT,250 to 499,$20 - 50 MILLION,Printers-Books (Mfrs),A,20 to 49
Westphal & Co,PO Box 7428,53707,43.07,-89.38,Madison,WI,PRESIDENT,250 to 499,$20 - 50 MILLION,Electrical Contacts Rebuilding (Mfrs),A,50+
Whole Foods Market,3313 University Ave,53705,43.07,-89.46,Madison,WI,GENERAL MGR,100 to 249,$20 - 50 MILLION,Grocers-Retail,A+,Unknown
Wilde East Towne Honda,5555 High Crossing Blvd,53718,43.09,-89.28,Madison,WI,PRESIDENT,100 to 249,$20 - 50 MILLION,Automobile Dealers-New Cars,A,1 to 10
Willy Street Co-Op,1221 Williamson St,53703,43.08,-89.38,Madison,WI,OWNER,250 to 499,$20 - 50 MILLION,Bakers-Retail,A,50+
Wisc-TV,7025 Raymond Rd,53719,43.05,-89.52,Madison,WI,DIRECTOR,100 to 249,$20 - 50 MILLION,Publishers-Magazine (Mfrs),A+,11 to 19
Wisconsin Aviation Four Lakes,3606 Corben Ct,53704,43.14,-89.35,Madison,WI,OWNER,100 to 249,$20 - 50 MILLION,Aircraft-Dealers,A,50+
Wolf Appliance Co LLC,PO Box 44848,53744,43.07,-89.38,Madison,WI,MANAGER,20 to 49,$20 - 50 MILLION,Metal Spinning (Mfrs),A,20 to 49
Woodmans Food Market,2631 Liberty Ln,53545,42.68,-89.01,Madison,WI,MANAGER,250 to 499,$50 - 100 MILLION,Grocers-Retail,A+,Unknown
Zimbrick Body Shop At Fish,1601 W Beltline Hwy # 100,53713,43.04,-89.39,Madison,WI,DIRECTOR,500 to 999,$50 - 100 MILLION,Automobile Parts & Supplies-Retail-New,A+,50+
Zimbrick Eastside Hyundai,5433 Wayne Ter,53718,43.09,-89.28,Madison,WI,GENERAL MGR,50 to 99,$20 - 50 MILLION,Automobile Dealers-New Cars,A+,1 to 10
Zimbrick Hyundai West,1809 W Beltline Hwy,53713,43.04,-89.39,Madison,WI,MANAGER,250 to 499,$100 - 500 MILLION,Automobile Dealers-New Cars,A+,1 to 10
Zimbrick Nissan,5330 High Crossing Blvd,53718,43.09,-89.28,Madison,WI,MANAGER,50 to 99,$20 - 50 MILLION,Automobile Dealers-New Cars,A+,1 to 10
